globalSpinIndex,baseSpinIndex,state,outcomeId,type,winAmount,triggeredFeatureId,patternSource,winConditionType,generatedWinLine,anchorsCount,visualRequestedType,visualAppliedType,visualApplied,visualPaylinesChosen,visualAttemptsUsed,visualGuardFailReason,visualSeed,teaseEligible,teaseChanceUsed,teaseRoll,teaseBlockedBy,visualGuardFailDetail,visualAttemptReasons,expectedWinAmount,evaluatedWinAmount,evaluationMatch,evaluatedEventCount,evaluatedRuleTypes,eventsJson
1114,1014,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,1226086450,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
1115,1015,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1293093203,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1116,1016,BASE,BIG_WIN,WIN,20,,GENERATED,LINE,1,4,NONE,NONE,false,,10,,2007460074,false,0,,NOT_ELIGIBLE,,ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;MAX_RETRIES,20,20,true,1,LINE,"[{""eventId"":""LINE_1_H1_5"",""ruleType"":""LINE"",""winAmount"":20,""paidSymbolId"":""H1"",""displaySymbolId"":""H1"",""positions"":[[1,0],[1,1],[1,2],[1,3],[1,4]],""matchCount"":5,""paylineIndex"":1,""metadata"":{}}]"
1117,1017,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1427106709,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1118,1018,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1494113462,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1119,1019,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,4,,1561120215,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
1120,1020,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,2,1,,848721419,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1121,1021,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,3|0,1,,1199521356,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1122,1022,BASE,NEAR_MISS_2,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,2|0,2,,705849422,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
1123,1023,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,3,,1058678256,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
