globalSpinIndex,baseSpinIndex,state,outcomeId,type,winAmount,triggeredFeatureId,patternSource,winConditionType,generatedWinLine,anchorsCount,visualRequestedType,visualAppliedType,visualApplied,visualPaylinesChosen,visualAttemptsUsed,visualGuardFailReason,visualSeed,teaseEligible,teaseChanceUsed,teaseRoll,teaseBlockedBy,visualGuardFailDetail,visualAttemptReasons,expectedWinAmount,evaluatedWinAmount,evaluationMatch,evaluatedEventCount,evaluatedRuleTypes,eventsJson,stateBefore,stateAfter,freeRemainingAfter,scatterCount,scatterGuardApplied,scatterAttemptsUsed,scatterFallbackUsed,anyPosSymbolId,anyPosTargetCount,anyPosActualCount,anyPosGuardApplied,anyPosAttemptsUsed,anyPosFallbackUsed
77,57,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,422433474,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
78,58,BASE,FREE_GAME_TRIGGER,FEATURE,0,FREE_GAME_TRIGGER,NONE,,,0,NONE,NONE,false,,3,,1379863090,false,0,,NOT_ELIGIBLE,,FORBIDDEN_SYMBOL_DETECTED;ACCIDENTAL_WIN_PAYLINE_3;SUCCESS,0,0,true,0,,,BASE,FREE,10,3,true,1,false,,,0,false,1,false
79,58,FREE,FREE_LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,55490197,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,,FREE,FREE,9,0,false,1,false,,,0,false,1,false
80,58,FREE,FREE_SMALL_WIN,WIN,5,,GENERATED,LINE,2,3,NONE,NONE,false,,10,,156227864,true,0.18,0.7239461892750114,CHANCE_MISS,,ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;MAX_RETRIES,5,5,true,1,LINE,"[{""eventId"":""LINE_2_L1_4"",""ruleType"":""LINE"",""winAmount"":5,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[2,0],[2,1],[2,2],[2,3]],""matchCount"":4,""paylineIndex"":2,""metadata"":{}}]",FREE,FREE,8,0,true,1,false,,,0,false,1,false
81,58,FREE,FREE_SMALL_WIN,WIN,5,,GENERATED,LINE,4,3,NONE,NONE,false,,1,,805386153,true,0.18,0.5944383712485433,CHANCE_MISS,,SUCCESS,5,5,true,1,LINE,"[{""eventId"":""LINE_4_L1_3"",""ruleType"":""LINE"",""winAmount"":5,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[2,0],[1,1],[0,2]],""matchCount"":3,""paylineIndex"":4,""metadata"":{}}]",FREE,FREE,7,0,false,1,false,,,0,false,1,false
82,58,FREE,FREE_SMALL_WIN,WIN,5,,GENERATED,LINE,4,3,NONE,NONE,false,,1,,1767000170,true,0.18,0.4406869860831648,CHANCE_MISS,,SUCCESS,5,5,true,1,LINE,"[{""eventId"":""LINE_4_L1_3"",""ruleType"":""LINE"",""winAmount"":5,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[2,0],[1,1],[0,2]],""matchCount"":3,""paylineIndex"":4,""metadata"":{}}]",FREE,FREE,6,0,false,1,false,,,0,false,1,false
83,58,FREE,FREE_LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,643690524,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,FREE,FREE,5,0,false,1,false,,,0,false,1,false
84,58,FREE,FREE_SMALL_WIN,WIN,5,,GENERATED,LINE,2,3,NONE,NONE,false,,10,,604739092,true,0.18,0.3389517299365252,CHANCE_MISS,,ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;MAX_RETRIES,5,5,true,1,LINE,"[{""eventId"":""LINE_2_L1_5"",""ruleType"":""LINE"",""winAmount"":5,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[2,0],[2,1],[2,2],[2,3],[2,4]],""matchCount"":5,""paylineIndex"":2,""metadata"":{}}]",FREE,FREE,4,0,false,1,false,,,0,false,1,false
85,58,FREE,FREE_LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,4,,862545242,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,,FREE,FREE,3,0,false,1,false,,,0,false,1,false
86,58,FREE,FREE_LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1175511047,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,FREE,FREE,2,0,false,1,false,,,0,false,1,false
87,58,FREE,FREE_LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,3,,1081399960,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,,FREE,FREE,1,0,false,1,false,,,0,false,1,false
88,58,FREE,FREE_MEDIUM_WIN,WIN,15,,GENERATED,LINE,2,3,NONE,NONE,false,,1,,2131155256,false,0,,NOT_ELIGIBLE,,SUCCESS,15,15,true,1,LINE,"[{""eventId"":""LINE_2_H1_3"",""ruleType"":""LINE"",""winAmount"":15,""paidSymbolId"":""H1"",""displaySymbolId"":""H1"",""positions"":[[2,0],[2,1],[2,2]],""matchCount"":3,""paylineIndex"":2,""metadata"":{}}]",FREE,BASE,0,0,false,1,false,,,0,false,1,false
89,59,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1287113567,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
90,60,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,1,3,NONE,NONE,false,,1,,1124931954,true,0.08,0.3451944685075432,CHANCE_MISS,,SUCCESS,2,2,true,1,LINE,"[{""eventId"":""LINE_1_L1_3"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[1,0],[1,1],[1,2]],""matchCount"":3,""paylineIndex"":1,""metadata"":{}}]",BASE,BASE,0,0,false,1,false,,,0,false,1,false
91,61,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1946501770,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
92,62,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,593192073,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_3;SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
93,63,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,3,3,NONE,NONE,false,,3,,694269617,true,0.08,0.11121752019971609,CHANCE_MISS,,ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,2,2,true,1,LINE,"[{""eventId"":""LINE_3_L1_3"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[0,0],[1,1],[2,2]],""matchCount"":3,""paylineIndex"":3,""metadata"":{}}]",BASE,BASE,0,0,false,1,false,,,0,false,1,false
94,64,BASE,NEAR_MISS_2,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,4|2,3,,1153893716,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_3;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
95,65,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,828230278,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
96,66,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,1,3,NONE,NONE,false,,2,,1781496108,true,0.08,0.3766423824708909,CHANCE_MISS,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,2,2,true,1,LINE,"[{""eventId"":""LINE_1_L1_3"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[1,0],[1,1],[1,2]],""matchCount"":3,""paylineIndex"":1,""metadata"":{}}]",BASE,BASE,0,0,false,1,false,,,0,false,1,false
97,67,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1878389116,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
98,68,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,5,,1063268483,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_2;SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
99,69,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,3,3,TEASE,TEASE,true,0|4,3,,37705463,true,0.08,0.07976960623636842,NONE,,ACCIDENTAL_WIN_PAYLINE_4;ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,2,2,true,1,LINE,"[{""eventId"":""LINE_3_L1_3"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[0,0],[1,1],[2,2]],""matchCount"":3,""paylineIndex"":3,""metadata"":{}}]",BASE,BASE,0,0,false,1,false,,,0,false,1,false
100,70,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,1171962237,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
101,71,BASE,NEAR_MISS_2,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,2|3,4,,113345727,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
102,72,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,3,,1534657157,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_3;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
103,73,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1407000442,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
104,74,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,5,,53690745,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
105,75,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,4,3,NONE,NONE,false,,2,,1684115519,true,0.08,0.2930202824063599,CHANCE_MISS,,ACCIDENTAL_WIN_PAYLINE_2;SUCCESS,2,2,true,1,LINE,"[{""eventId"":""LINE_4_L1_3"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[2,0],[1,1],[0,2]],""matchCount"":3,""paylineIndex"":4,""metadata"":{}}]",BASE,BASE,0,0,false,1,false,,,0,false,1,false
106,76,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1642038647,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
107,77,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,4|2,1,,644468964,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,,BASE,BASE,0,0,false,1,false,,,0,false,1,false
